iter	Passed	Remaining
0	5	5550
1	10	5125
2	14	4927
3	19	4854
4	24	4840
5	29	4841
6	33	4809
7	38	4779
8	43	4752
9	45	4536
10	48	4345
11	50	4195
12	53	4061
13	56	3958
14	58	3860
15	61	3771
16	63	3696
17	66	3630
18	69	3566
19	71	3509
20	74	3457
21	76	3402
22	78	3348
23	81	3305
24	83	3254
25	85	3213
26	88	3177
27	90	3138
28	92	3105
29	95	3076
30	97	3043
31	99	3012
32	101	2988
33	104	2967
34	106	2943
35	109	2922
36	111	2897
37	113	2876
38	115	2858
39	117	2831
40	120	2808
41	122	2793
42	124	2776
43	127	2761
44	129	2746
45	131	2728
46	133	2716
47	136	2706
48	139	2698
49	141	2682
50	143	2670
51	145	2650
52	147	2633
53	149	2623
54	151	2611
55	154	2598
56	156	2584
57	158	2572
58	160	2557
59	162	2544
60	164	2532
61	166	2519
62	168	2508
63	170	2499
64	173	2491
65	175	2488
66	178	2480
67	180	2471
68	182	2460
69	184	2448
70	186	2437
71	188	2425
72	190	2413
73	191	2400
74	193	2389
75	195	2377
76	197	2365
77	199	2355
78	201	2346
79	203	2337
80	205	2326
81	207	2320
82	209	2310
83	211	2304
84	213	2298
85	215	2293
86	217	2287
87	220	2281
88	222	2275
89	225	2275
90	227	2272
91	229	2266
92	231	2259
93	233	2253
94	235	2247
95	237	2240
96	240	2235
97	242	2228
98	244	2224
99	246	2218
100	248	2213
101	250	2208
102	253	2203
103	255	2198
104	257	2193
105	259	2188
106	261	2184
107	263	2178
108	265	2174
109	267	2167
110	270	2163
111	272	2159
112	274	2154
113	276	2149
114	278	2145
115	280	2140
116	283	2136
117	285	2131
118	287	2126
119	289	2122
120	291	2118
121	293	2113
122	295	2109
123	298	2107
124	300	2104
125	302	2099
126	304	2094
127	306	2089
128	308	2083
129	310	2077
130	312	2072
131	314	2067
132	316	2061
133	318	2056
134	320	2052
135	322	2047
136	324	2042
137	326	2037
138	328	2033
139	330	2030
140	332	2027
141	334	2023
142	337	2019
143	339	2015
144	341	2011
145	343	2008
146	345	2003
147	347	1999
148	349	1995
149	351	1991
150	353	1987
151	355	1983
152	357	1979
153	359	1975
154	361	1971
155	363	1966
156	365	1962
157	367	1959
158	369	1955
159	371	1951
160	373	1948
161	376	1945
162	378	1942
163	380	1938
164	382	1935
165	384	1931
166	386	1926
167	388	1922
168	390	1919
169	392	1915
170	394	1912
171	396	1908
172	398	1904
173	400	1901
174	402	1897
175	404	1894
176	406	1889
177	408	1886
178	410	1882
179	412	1878
180	414	1875
181	416	1871
182	418	1868
183	420	1864
184	422	1861
185	424	1858
186	426	1854
187	428	1851
188	430	1848
189	432	1845
190	434	1842
191	437	1839
192	439	1836
193	441	1833
194	443	1829
195	445	1827
196	447	1824
197	449	1821
198	452	1819
199	454	1816
200	455	1812
201	457	1809
202	459	1805
203	461	1802
204	463	1799
205	465	1795
206	467	1791
207	469	1788
208	471	1784
209	473	1780
210	475	1777
211	477	1773
212	479	1769
213	480	1766
214	482	1762
215	484	1758
216	486	1755
217	488	1752
218	490	1749
219	492	1746
220	494	1743
221	496	1740
222	498	1737
223	500	1734
224	502	1731
225	504	1728
226	506	1726
227	508	1723
228	510	1719
229	512	1717
230	514	1713
231	516	1710
232	518	1707
233	520	1703
234	522	1701
235	524	1697
236	526	1694
237	528	1692
238	530	1689
239	532	1686
240	534	1683
241	536	1680
242	538	1678
243	540	1675
244	542	1672
245	544	1669
246	546	1667
247	548	1664
248	550	1661
249	552	1658
250	554	1654
251	556	1651
252	558	1649
253	560	1645
254	562	1642
255	564	1640
256	566	1637
257	568	1635
258	570	1632
259	572	1628
260	574	1626
261	576	1622
262	577	1619
263	580	1617
264	582	1614
265	584	1611
266	586	1609
267	588	1606
268	590	1603
269	591	1600
270	594	1597
271	596	1595
272	597	1592
273	600	1589
274	601	1586
275	603	1584
276	605	1581
277	608	1579
278	610	1576
279	611	1573
280	613	1570
281	615	1568
282	617	1565
283	619	1561
284	621	1558
285	623	1555
286	624	1552
287	626	1548
288	628	1545
289	630	1542
290	631	1539
291	633	1536
292	635	1533
293	637	1530
294	639	1527
295	640	1524
296	642	1520
297	644	1517
298	646	1514
299	648	1512
300	649	1509
301	651	1506
302	653	1503
303	655	1501
304	657	1498
305	659	1495
306	661	1492
307	663	1490
308	665	1487
309	666	1484
310	668	1481
311	670	1478
312	672	1476
313	674	1473
314	676	1470
315	678	1468
316	680	1466
317	682	1463
318	684	1461
319	686	1458
320	688	1455
321	690	1453
322	692	1450
323	693	1447
324	695	1445
325	697	1442
326	699	1439
327	701	1437
328	703	1434
329	705	1431
330	707	1429
331	708	1426
332	710	1423
333	712	1421
334	714	1418
335	716	1416
336	718	1413
337	720	1410
338	721	1407
339	723	1405
340	725	1402
341	727	1400
342	729	1397
343	731	1395
344	733	1392
345	735	1390
346	737	1387
347	739	1385
348	741	1382
349	743	1380
350	745	1377
351	747	1375
352	748	1372
353	750	1370
354	752	1367
355	754	1365
356	756	1362
357	758	1360
358	760	1357
359	762	1354
360	763	1352
361	765	1349
362	767	1347
363	769	1344
364	771	1342
365	773	1339
366	774	1336
367	776	1333
368	778	1331
369	780	1328
370	781	1325
371	783	1323
372	785	1320
373	787	1317
374	789	1315
375	791	1312
376	792	1310
377	794	1307
378	796	1305
379	798	1303
380	800	1301
381	802	1298
382	805	1296
383	807	1294
384	809	1292
385	811	1290
386	812	1287
387	814	1285
388	817	1283
389	819	1281
390	821	1279
391	823	1276
392	824	1274
393	827	1272
394	829	1270
395	831	1268
396	834	1267
397	836	1265
398	838	1263
399	840	1261
400	842	1259
401	845	1257
402	847	1255
403	849	1253
404	851	1251
405	853	1248
406	855	1246
407	857	1244
408	859	1242
409	862	1240
410	863	1238
411	866	1235
412	868	1233
413	870	1231
414	872	1229
415	874	1227
416	876	1225
417	878	1222
418	880	1220
419	882	1219
420	884	1217
421	887	1214
422	888	1212
423	891	1210
424	893	1208
425	895	1206
426	897	1204
427	899	1202
428	901	1199
429	903	1197
430	905	1195
431	907	1193
432	909	1190
433	911	1188
434	913	1186
435	915	1184
436	917	1181
437	919	1179
438	921	1177
439	923	1175
440	925	1172
441	927	1170
442	929	1168
443	931	1166
444	933	1163
445	934	1161
446	937	1159
447	938	1156
448	940	1154
449	942	1152
450	945	1150
451	946	1147
452	948	1145
453	950	1143
454	952	1141
455	954	1138
456	956	1136
457	958	1134
458	960	1131
459	962	1129
460	964	1127
461	965	1124
462	967	1122
463	969	1120
464	971	1117
465	973	1115
466	975	1113
467	978	1111
468	979	1109
469	981	1107
470	983	1105
471	985	1102
472	987	1100
473	989	1098
474	991	1096
475	993	1093
476	995	1091
477	997	1089
478	999	1087
479	1001	1085
480	1003	1083
481	1005	1081
482	1007	1078
483	1009	1076
484	1011	1074
485	1014	1072
486	1016	1070
487	1017	1067
488	1019	1065
489	1021	1063
490	1023	1061
491	1025	1059
492	1027	1057
493	1029	1054
494	1031	1052
495	1033	1050
496	1035	1048
497	1037	1046
498	1039	1043
499	1041	1041
500	1043	1039
501	1045	1037
502	1047	1035
503	1049	1032
504	1051	1030
505	1053	1028
506	1055	1025
507	1057	1023
508	1058	1021
509	1060	1019
510	1062	1017
511	1064	1014
512	1066	1012
513	1068	1010
514	1071	1008
515	1073	1006
516	1074	1004
517	1076	1001
518	1078	999
519	1080	997
520	1082	995
521	1084	993
522	1086	991
523	1088	988
524	1090	986
525	1092	984
526	1094	982
527	1096	980
528	1098	978
529	1100	975
530	1102	973
531	1104	971
532	1106	969
533	1108	967
534	1110	964
535	1112	962
536	1114	960
537	1116	958
538	1118	956
539	1119	954
540	1121	951
541	1123	949
542	1125	947
543	1127	945
544	1129	943
545	1132	941
546	1133	939
547	1136	937
548	1138	935
549	1140	933
550	1142	931
551	1144	928
552	1146	926
553	1148	924
554	1150	922
555	1152	920
556	1154	918
557	1156	916
558	1159	914
559	1161	912
560	1163	910
561	1165	908
562	1167	906
563	1169	904
564	1171	901
565	1173	899
566	1175	897
567	1177	895
568	1179	893
569	1181	891
570	1184	889
571	1186	887
572	1188	885
573	1190	883
574	1192	881
575	1194	879
576	1196	877
577	1198	875
578	1200	873
579	1202	870
580	1204	868
581	1206	866
582	1209	864
583	1211	862
584	1213	860
585	1215	858
586	1216	856
587	1218	854
588	1221	852
589	1223	850
590	1225	847
591	1227	845
592	1229	843
593	1231	841
594	1233	839
595	1235	837
596	1238	835
597	1240	833
598	1242	831
599	1244	829
600	1246	827
601	1249	825
602	1251	823
603	1253	822
604	1256	820
605	1257	817
606	1259	815
607	1262	813
608	1264	811
609	1266	809
610	1268	807
611	1270	805
612	1272	803
613	1274	801
614	1277	799
615	1279	797
616	1281	795
617	1283	793
618	1285	791
619	1288	789
620	1290	787
621	1292	785
622	1294	783
623	1297	781
624	1299	779
625	1301	777
626	1303	775
627	1305	773
628	1307	771
629	1310	769
630	1312	767
631	1314	765
632	1316	763
633	1318	761
634	1320	759
635	1322	757
636	1324	754
637	1326	752
638	1329	750
639	1331	748
640	1333	746
641	1335	744
642	1337	742
643	1339	740
644	1341	738
645	1343	736
646	1345	734
647	1347	732
648	1349	729
649	1351	727
650	1353	725
651	1355	723
652	1358	721
653	1360	719
654	1362	717
655	1364	715
656	1366	713
657	1368	711
658	1370	709
659	1372	707
660	1374	705
661	1376	702
662	1378	700
663	1381	698
664	1383	696
665	1385	694
666	1387	692
667	1389	690
668	1391	688
669	1393	686
670	1396	684
671	1398	682
672	1400	680
673	1402	678
674	1404	676
675	1406	674
676	1409	672
677	1411	670
678	1413	668
679	1415	666
680	1417	663
681	1419	661
682	1421	659
683	1423	657
684	1425	655
685	1427	653
686	1429	651
687	1431	649
688	1433	647
689	1435	644
690	1437	642
691	1439	640
692	1441	638
693	1443	636
694	1445	634
695	1447	632
696	1449	630
697	1451	627
698	1453	625
699	1455	623
700	1457	621
701	1459	619
702	1461	617
703	1463	615
704	1465	613
705	1467	611
706	1469	608
707	1471	606
708	1472	604
709	1474	602
710	1476	600
711	1478	598
712	1480	595
713	1482	593
714	1484	591
715	1486	589
716	1488	587
717	1490	585
718	1491	583
719	1493	580
720	1495	578
721	1497	576
722	1499	574
723	1501	572
724	1503	570
725	1505	568
726	1507	565
727	1508	563
728	1511	561
729	1512	559
730	1514	557
731	1516	555
732	1518	553
733	1520	550
734	1522	548
735	1524	546
736	1526	544
737	1527	542
738	1529	540
739	1531	538
740	1533	536
741	1535	534
742	1537	531
743	1539	529
744	1541	527
745	1543	525
746	1544	523
747	1546	521
748	1548	518
749	1550	516
750	1552	514
751	1554	512
752	1556	510
753	1558	508
754	1559	506
755	1561	504
756	1563	501
757	1565	499
758	1567	497
759	1569	495
760	1570	493
761	1572	491
762	1574	489
763	1576	486
764	1578	484
765	1579	482
766	1581	480
767	1583	478
768	1585	476
769	1586	473
770	1588	471
771	1590	469
772	1592	467
773	1593	465
774	1595	463
775	1597	461
776	1598	458
777	1600	456
778	1602	454
779	1604	452
780	1606	450
781	1607	448
782	1609	446
783	1611	443
784	1613	441
785	1615	439
786	1616	437
787	1618	435
788	1620	433
789	1622	431
790	1624	429
791	1626	427
792	1627	424
793	1629	422
794	1631	420
795	1633	418
796	1635	416
797	1637	414
798	1638	412
799	1640	410
800	1642	408
801	1644	405
802	1646	403
803	1648	401
804	1650	399
805	1651	397
806	1653	395
807	1655	393
808	1657	391
809	1659	389
810	1661	387
811	1663	385
812	1664	382
813	1666	380
814	1668	378
815	1670	376
816	1672	374
817	1674	372
818	1675	370
819	1677	368
820	1679	366
821	1681	364
822	1682	361
823	1684	359
824	1686	357
825	1688	355
826	1690	353
827	1692	351
828	1693	349
829	1695	347
830	1697	345
831	1699	343
832	1701	341
833	1702	338
834	1704	336
835	1706	334
836	1708	332
837	1709	330
838	1711	328
839	1713	326
840	1715	324
841	1716	322
842	1718	320
843	1720	317
844	1722	315
845	1723	313
846	1725	311
847	1727	309
848	1728	307
849	1730	305
850	1732	303
851	1734	301
852	1736	299
853	1737	297
854	1739	294
855	1741	292
856	1742	290
857	1744	288
858	1746	286
859	1747	284
860	1749	282
861	1751	280
862	1752	278
863	1754	276
864	1756	274
865	1757	272
866	1759	269
867	1761	267
868	1763	265
869	1764	263
870	1766	261
871	1768	259
872	1770	257
873	1771	255
874	1773	253
875	1774	251
876	1776	249
877	1778	247
878	1779	244
879	1781	242
880	1782	240
881	1784	238
882	1785	236
883	1787	234
884	1788	232
885	1790	230
886	1791	228
887	1793	226
888	1794	224
889	1796	222
890	1798	219
891	1800	217
892	1801	215
893	1803	213
894	1805	211
895	1806	209
896	1808	207
897	1810	205
898	1811	203
899	1813	201
900	1814	199
901	1816	197
902	1817	195
903	1819	193
904	1821	191
905	1822	189
906	1824	187
907	1825	185
908	1827	182
909	1828	180
910	1830	178
911	1832	176
912	1833	174
913	1835	172
914	1837	170
915	1838	168
916	1840	166
917	1841	164
918	1843	162
919	1845	160
920	1846	158
921	1848	156
922	1849	154
923	1851	152
924	1852	150
925	1854	148
926	1856	146
927	1857	144
928	1859	142
929	1861	140
930	1862	138
931	1864	136
932	1865	133
933	1867	131
934	1868	129
935	1870	127
936	1871	125
937	1873	123
938	1874	121
939	1876	119
940	1877	117
941	1879	115
942	1880	113
943	1882	111
944	1883	109
945	1885	107
946	1887	105
947	1888	103
948	1890	101
949	1891	99
950	1892	97
951	1894	95
952	1895	93
953	1897	91
954	1899	89
955	1900	87
956	1901	85
957	1903	83
958	1904	81
959	1906	79
960	1907	77
961	1909	75
962	1910	73
963	1912	71
964	1913	69
965	1915	67
966	1916	65
967	1918	63
968	1919	61
969	1921	59
970	1923	57
971	1924	55
972	1926	53
973	1927	51
974	1929	49
975	1931	47
976	1932	45
977	1934	43
978	1936	41
979	1937	39
980	1939	37
981	1940	35
982	1942	33
983	1944	31
984	1945	29
985	1947	27
986	1948	25
987	1949	23
988	1951	21
989	1952	19
990	1954	17
991	1955	15
992	1957	13
993	1958	11
994	1959	9
995	1961	7
996	1963	5
997	1964	3
998	1965	1
999	1967	0
