iter	RMSE
0	2154.814179
1	2082.515955
2	2008.027131
3	1937.280847
4	1871.900784
5	1811.244662
6	1745.869638
7	1687.869211
8	1635.105349
9	1581.564809
10	1526.748525
11	1478.402144
12	1430.23668
13	1385.530547
14	1342.262403
15	1301.371445
16	1262.912323
17	1226.323902
18	1191.918413
19	1156.684247
20	1124.289155
21	1094.484954
22	1064.36298
23	1034.748199
24	1005.541217
25	980.3108809
26	955.2024307
27	931.2659393
28	909.6538326
29	887.1473083
30	867.3357474
31	846.7275751
32	827.2730674
33	808.9909105
34	793.4851977
35	777.7242369
36	763.2011086
37	749.0024683
38	734.8734523
39	721.3331627
40	707.3014533
41	696.5818044
42	685.1596046
43	673.2468747
44	662.3857178
45	653.3271179
46	644.4228938
47	635.7854377
48	628.0309897
49	622.4489254
50	614.5641921
51	608.1872084
52	600.8279501
53	593.9426389
54	587.9206691
55	581.9767477
56	576.6447697
57	570.1698325
58	564.423237
59	556.4961441
60	550.2525402
61	545.1903282
62	539.530531
63	535.0109658
64	530.7491734
65	526.893351
66	523.9532709
67	518.6172986
68	514.0687266
69	510.7158906
70	506.1533614
71	503.791893
72	500.8128614
73	495.3203196
74	492.4667998
75	490.1350001
76	485.8593259
77	482.4917467
78	480.0638766
79	476.2028929
80	474.416613
81	471.6439902
82	469.0523079
83	468.199945
84	465.9562487
85	464.9726635
86	463.3977884
87	458.3827117
88	456.7201377
89	453.4580477
90	451.8353712
91	450.1816713
92	447.8619382
93	445.6293844
94	444.3402431
95	442.4651781
96	439.6228678
97	438.3229763
98	436.6308673
99	435.024516
100	432.1357124
101	429.0642151
102	426.368388
103	425.3588433
104	424.3693287
105	421.0306
106	419.7395406
107	416.590649
108	413.4770267
109	411.7626341
110	410.8710353
111	410.1565718
112	408.5105329
113	407.9653784
114	405.7374515
115	403.1537201
116	402.5636126
117	400.1221922
118	399.4239868
119	398.4054112
120	396.7602244
121	396.6115423
122	395.260519
123	393.699107
124	392.1616157
125	390.6400045
126	388.7614692
127	388.3198643
128	387.6542924
129	385.959562
130	385.8369589
131	385.1052885
132	383.7550774
133	381.8206009
134	381.0188853
135	380.1966975
136	378.9707264
137	378.9703617
138	378.3767655
139	377.7249299
140	376.1802103
141	374.5670525
142	373.162031
143	371.9815762
144	370.772853
145	370.7724009
146	370.7246199
147	369.6469281
148	368.1898849
149	366.8087366
150	366.2310688
151	365.3095894
152	363.5021182
153	361.4657132
154	360.6713939
155	360.6629465
156	359.8161226
157	358.5183316
158	358.1232295
159	357.4843649
160	355.8222833
161	355.0861255
162	354.782905
163	352.654637
164	351.9126587
165	351.5683696
166	350.8940027
167	350.2114293
168	348.5720094
169	347.0128877
170	345.379532
171	344.0852641
172	342.9094908
173	342.5652832
174	341.1595357
175	340.1638083
176	340.1635318
177	339.4138291
178	337.4137169
179	336.0914581
180	335.3465684
181	335.3457015
182	333.8157423
183	333.3619554
184	332.8575595
185	331.5934197
186	330.4371302
187	328.1422351
188	326.3808424
189	324.8285169
190	323.2320482
191	322.2475994
192	322.0179096
193	321.1315394
194	321.0961676
195	321.0874548
196	319.8594496
197	319.2726028
198	317.8019993
199	316.5027941
200	315.451098
201	315.4279283
202	314.626375
203	313.8231629
204	312.9457567
205	311.8281322
206	310.9039478
207	309.9612351
208	308.9222355
209	307.6731762
210	305.970791
211	305.452267
212	305.3610926
213	304.7564255
214	304.2400963
215	303.0057733
216	301.9736034
217	301.9369731
218	301.9293596
219	301.370163
220	300.5701956
221	299.5496248
222	299.106066
223	299.0909669
224	298.02372
225	297.5132001
226	296.6917703
227	295.5749886
228	295.4635094
229	294.771836
230	294.7656276
231	294.1563458
232	292.3853348
233	292.3411835
234	292.3114373
235	291.2507048
236	291.2442414
237	290.5625547
238	290.0220084
239	290.0078635
240	289.3281094
241	288.4912927
242	288.4856729
243	287.7463716
244	287.2752703
245	286.6786679
246	286.6731677
247	285.9703826
248	285.3161833
249	285.3028484
250	283.7278733
251	282.9248803
252	282.8893398
253	282.0280932
254	281.4298537
255	280.3088793
256	279.3186066
257	277.7874877
258	277.0255341
259	276.1122828
260	275.3869046
261	274.1776423
262	274.0353452
263	273.1503021
264	272.4687387
265	271.6580634
266	270.6753519
267	270.0539255
268	269.2339156
269	268.2645894
270	268.1553979
271	267.0357522
272	266.3709086
273	265.6708154
274	265.1733613
275	264.7246019
276	264.3960625
277	263.0668421
278	263.0291165
279	262.9970607
280	262.2020544
281	262.1742758
282	261.3502714
283	260.8117241
284	260.152163
285	260.1256856
286	259.410708
287	258.8255448
288	258.2774451
289	256.9377758
290	256.5375755
291	256.1372037
292	255.5583147
293	254.336043
294	253.6628307
295	252.9102686
296	252.5360559
297	251.8170697
298	251.0582163
299	250.7379776
300	250.2764636
301	249.5745881
302	249.1048838
303	248.4409158
304	248.4152272
305	248.0151044
306	247.5089729
307	247.1750205
308	246.5141939
309	245.8466934
310	245.1789327
311	244.6116057
312	244.3508012
313	244.0210915
314	243.9956813
315	242.8238252
316	242.7994352
317	242.3512985
318	241.9232394
319	241.5989845
320	241.1772721
321	240.8262851
322	240.2087933
323	239.8298453
324	239.422873
325	239.0135159
326	238.5868215
327	238.0401937
328	237.6639731
329	237.1515811
330	236.9565905
331	236.6267826
332	235.6962368
333	235.0686513
334	234.5714309
335	234.1032511
336	233.5373784
337	233.2455958
338	232.8212031
339	232.2170133
340	231.876835
341	231.3764429
342	230.442299
343	229.4932022
344	228.5550143
345	228.2664657
346	227.2475538
347	226.8005366
348	226.185639
349	225.033419
350	224.5688458
351	224.0110285
352	223.6890464
353	223.0912096
354	222.4515763
355	221.9104516
356	221.4717634
357	220.9360304
358	220.2846026
359	219.5795736
360	219.0663467
361	218.840217
362	218.6201035
363	218.0572314
364	217.8553419
365	217.5536009
366	216.7860843
367	216.4562642
368	216.107929
369	215.8963699
370	215.3501021
371	214.8999072
372	214.4132513
373	213.7051344
374	212.8946976
375	212.3076895
376	211.8364095
377	211.4258644
378	211.0715572
379	210.5989052
380	210.1804646
381	209.8225138
382	209.6532323
383	209.2386513
384	208.9254952
385	208.3260967
386	208.0971738
387	207.5040181
388	207.024339
389	206.7400532
390	206.3738761
391	206.0533723
392	205.8311973
393	205.5479866
394	205.1132562
395	204.4416369
396	203.6889363
397	203.2751937
398	202.7633631
399	202.367589
400	202.3081424
401	201.9013493
402	201.7716829
403	201.3349385
404	200.9947513
405	200.6894053
406	200.4742444
407	200.4173316
408	200.2765511
409	199.5244929
410	199.1061938
411	198.7899636
412	198.5058289
413	197.9811584
414	197.5288828
415	197.2884893
416	196.6361895
417	196.2044982
418	196.0246212
419	195.2051756
