iter	Passed	Remaining
0	4	4436
1	13	6964
2	18	6250
3	23	5858
4	30	6153
5	37	6185
6	43	6166
7	50	6274
8	60	6701
9	68	6736
10	74	6727
11	86	7109
12	94	7137
13	100	7057
14	106	7010
15	113	6957
16	122	7065
17	129	7041
18	134	6944
19	138	6777
20	142	6645
21	146	6502
22	150	6373
23	154	6289
24	161	6311
25	165	6208
26	170	6145
27	174	6058
28	178	5966
29	183	5945
30	187	5864
31	191	5783
32	196	5765
33	200	5694
34	207	5734
35	217	5831
36	224	5834
37	227	5751
38	231	5708
39	234	5636
40	237	5562
41	240	5495
42	244	5444
43	247	5381
44	250	5321
45	254	5280
46	258	5232
47	261	5181
48	264	5132
49	267	5088
50	270	5041
51	274	5005
52	277	4963
53	282	4943
54	288	4953
55	315	5312
56	320	5301
57	325	5284
58	330	5265
59	336	5278
60	342	5264
61	346	5234
62	350	5217
63	355	5193
64	359	5175
65	367	5203
66	371	5175
67	376	5162
68	382	5161
69	386	5139
70	392	5141
71	398	5136
72	406	5158
73	414	5190
74	420	5189
75	430	5238
76	437	5242
77	444	5249
78	451	5260
79	455	5232
80	459	5209
81	463	5187
82	467	5165
83	471	5140
84	477	5142
85	481	5119
86	485	5089
87	490	5083
88	498	5101
89	502	5081
90	505	5050
91	508	5022
92	512	4994
93	515	4967
94	518	4939
95	522	4922
96	533	4964
97	536	4937
98	539	4912
99	542	4886
100	548	4880
101	551	4855
102	554	4830
103	557	4801
104	560	4776
105	562	4747
106	565	4718
107	567	4690
108	571	4670
109	574	4647
110	576	4619
111	579	4593
112	581	4566
113	584	4540
114	586	4515
115	589	4490
116	591	4465
117	595	4448
118	598	4431
119	601	4414
120	604	4390
121	607	4371
122	609	4348
123	612	4326
124	614	4303
125	617	4281
126	620	4265
127	624	4253
128	627	4236
129	630	4220
130	634	4209
131	637	4193
132	640	4177
133	644	4164
134	647	4150
135	650	4135
136	654	4120
137	658	4113
138	669	4148
139	676	4154
140	680	4145
141	685	4141
142	688	4127
143	692	4113
144	697	4112
145	700	4094
146	702	4076
147	704	4058
148	707	4041
149	710	4023
150	712	4006
151	715	3989
152	717	3972
153	720	3960
154	723	3944
155	725	3927
156	728	3911
157	730	3894
158	733	3881
159	736	3865
160	740	3856
161	743	3843
162	746	3832
163	748	3817
164	751	3803
165	754	3788
166	756	3773
167	759	3759
168	762	3748
169	766	3742
170	770	3737
171	774	3726
172	777	3716
173	780	3706
174	784	3698
175	789	3695
176	794	3692
177	799	3694
178	803	3687
179	820	3737
180	826	3737
181	829	3729
182	832	3717
183	835	3703
184	839	3696
185	841	3682
186	843	3669
187	846	3656
188	851	3653
189	853	3640
190	856	3627
191	858	3614
192	862	3605
193	864	3593
194	867	3580
195	870	3569
196	873	3558
197	875	3547
198	878	3535
199	880	3523
200	884	3514
201	886	3503
202	889	3492
203	892	3480
204	894	3469
205	898	3461
206	900	3450
207	903	3439
208	908	3438
209	912	3431
210	915	3424
211	918	3415
212	922	3408
213	926	3402
214	929	3394
215	933	3389
216	937	3381
217	940	3373
218	944	3368
219	947	3360
220	951	3354
221	961	3369
222	966	3367
223	969	3357
224	974	3355
225	976	3345
226	979	3335
227	981	3324
228	985	3319
229	988	3310
230	991	3300
231	993	3290
232	998	3285
233	1001	3277
234	1003	3267
235	1006	3258
236	1009	3251
237	1012	3243
238	1015	3233
239	1018	3224
240	1021	3215
241	1025	3210
242	1027	3200
243	1030	3191
244	1032	3183
245	1036	3175
246	1038	3166
247	1041	3157
248	1044	3150
249	1049	3148
250	1052	3140
251	1055	3133
252	1059	3128
253	1062	3121
254	1066	3114
255	1070	3111
256	1073	3104
257	1076	3097
258	1080	3090
259	1083	3084
260	1088	3082
261	1094	3084
262	1099	3079
263	1102	3074
264	1108	3073
265	1111	3066
266	1115	3061
267	1118	3054
268	1122	3049
269	1125	3043
270	1128	3036
271	1132	3031
272	1136	3025
273	1139	3018
274	1142	3011
275	1146	3007
276	1150	3004
277	1154	2997
278	1157	2992
279	1164	2993
280	1174	3006
281	1178	2999
282	1181	2992
283	1185	2989
284	1188	2981
285	1191	2975
286	1194	2968
287	1199	2965
288	1202	2958
289	1206	2952
290	1209	2947
291	1212	2941
292	1216	2935
293	1219	2929
294	1225	2928
295	1229	2923
296	1232	2916
297	1236	2912
298	1240	2907
299	1243	2902
300	1256	2917
301	1260	2914
302	1264	2908
303	1267	2902
304	1271	2896
305	1274	2891
306	1278	2885
307	1281	2879
308	1285	2875
309	1289	2869
310	1292	2863
311	1295	2856
312	1298	2850
313	1302	2844
314	1305	2838
315	1310	2837
316	1314	2831
317	1317	2825
318	1320	2819
319	1324	2814
320	1327	2807
321	1332	2805
322	1335	2799
323	1339	2794
324	1342	2788
325	1347	2786
326	1351	2781
327	1354	2775
328	1358	2771
329	1362	2765
330	1365	2759
331	1368	2753
332	1372	2749
333	1376	2744
334	1379	2738
335	1383	2733
336	1387	2729
337	1390	2723
338	1394	2718
339	1399	2715
340	1402	2709
341	1406	2705
342	1410	2700
343	1413	2695
344	1417	2690
345	1420	2684
346	1424	2679
347	1427	2673
348	1430	2668
349	1434	2664
350	1437	2658
351	1441	2654
352	1446	2651
353	1449	2645
354	1453	2641
355	1461	2643
356	1464	2637
357	1469	2635
358	1476	2635
359	1480	2631
360	1483	2625
361	1487	2621
362	1490	2616
363	1495	2612
364	1499	2608
365	1503	2603
366	1506	2598
367	1509	2592
368	1512	2587
369	1516	2581
370	1526	2588
371	1532	2586
372	1535	2581
373	1540	2577
374	1543	2572
375	1546	2567
376	1550	2562
377	1554	2558
378	1558	2553
379	1561	2547
380	1564	2542
381	1568	2536
382	1571	2531
383	1574	2526
384	1578	2521
385	1587	2524
386	1592	2522
387	1595	2516
388	1597	2509
389	1599	2502
390	1606	2501
391	1608	2495
392	1611	2489
393	1615	2484
394	1619	2480
395	1622	2474
396	1624	2467
397	1630	2466
398	1633	2460
399	1638	2457
400	1642	2453
401	1645	2447
402	1649	2443
403	1653	2438
404	1656	2433
405	1660	2428
406	1663	2423
407	1666	2418
408	1670	2413
409	1673	2408
410	1676	2403
411	1680	2398
412	1689	2400
413	1693	2397
414	1696	2391
415	1700	2386
416	1704	2383
417	1707	2378
418	1711	2373
419	1715	2369
420	1718	2363
421	1721	2357
422	1724	2351
423	1726	2345
424	1730	2341
425	1733	2335
426	1735	2329
427	1738	2323
428	1741	2318
429	1743	2311
430	1746	2305
431	1749	2299
432	1751	2293
433	1754	2288
434	1756	2282
435	1761	2278
436	1765	2274
437	1768	2269
438	1771	2264
439	1774	2259
440	1779	2255
441	1782	2250
442	1785	2245
443	1789	2240
444	1792	2235
445	1796	2231
446	1800	2227
447	1804	2223
448	1807	2218
449	1811	2213
450	1814	2208
451	1817	2203
452	1826	2206
453	1833	2204
