iter	Passed	Remaining
0	15	15937
1	21	10762
2	26	8829
3	33	8367
4	46	9285
5	55	9162
6	61	8662
7	67	8415
8	74	8196
9	81	8031
10	89	8033
11	97	7987
12	102	7812
13	108	7617
14	112	7392
15	115	7109
16	119	6902
17	122	6700
18	129	6672
19	135	6615
20	138	6454
21	141	6293
22	145	6160
23	148	6023
24	151	5897
25	154	5780
26	158	5712
27	161	5612
28	164	5516
29	168	5434
30	171	5362
31	175	5318
32	183	5385
33	190	5426
34	196	5408
35	200	5374
36	205	5353
37	210	5330
38	214	5291
39	221	5308
40	225	5264
41	229	5226
42	242	5394
43	250	5445
44	258	5493
45	264	5475
46	268	5437
47	272	5408
48	276	5365
49	282	5369
50	289	5387
51	296	5403
52	302	5409
53	309	5418
54	316	5443
55	323	5452
56	331	5485
57	335	5442
58	338	5396
59	341	5350
60	345	5325
61	349	5280
62	351	5228
63	354	5186
64	357	5147
65	360	5107
66	364	5068
67	367	5032
68	370	4995
69	373	4960
70	376	4925
71	379	4891
72	387	4924
73	392	4913
74	395	4877
75	397	4838
76	400	4799
77	403	4764
78	406	4737
79	408	4701
80	411	4667
81	413	4633
82	416	4603
83	419	4573
84	421	4542
85	424	4511
86	426	4480
87	429	4452
88	432	4423
89	434	4397
90	437	4368
91	439	4342
92	442	4315
93	444	4288
94	447	4262
95	449	4236
96	452	4211
97	455	4189
98	457	4165
99	460	4141
100	462	4118
101	465	4098
102	468	4075
103	470	4053
104	473	4031
105	475	4010
106	478	3995
107	481	3974
108	484	3962
109	487	3947
110	492	3942
111	495	3927
112	498	3912
113	501	3897
114	504	3885
115	507	3871
116	511	3857
117	514	3846
118	518	3838
119	524	3844
120	528	3836
121	530	3819
122	533	3801
123	535	3784
124	538	3767
125	541	3752
126	543	3737
127	546	3721
128	548	3706
129	551	3690
130	553	3674
131	556	3659
132	559	3649
133	562	3634
134	564	3619
135	567	3605
136	570	3590
137	572	3575
138	575	3561
139	577	3547
140	579	3533
141	582	3519
142	584	3505
143	587	3492
144	589	3478
145	592	3464
146	594	3451
147	597	3439
148	600	3427
149	602	3414
150	605	3404
151	608	3393
152	610	3381
153	613	3369
154	615	3357
155	618	3346
156	621	3336
157	625	3331
158	628	3323
159	631	3315
160	634	3306
161	637	3298
162	640	3291
163	644	3287
164	647	3278
165	650	3269
166	653	3262
167	659	3267
168	674	3315
169	680	3323
170	683	3315
171	688	3314
172	693	3313
173	695	3303
174	698	3295
175	701	3284
176	705	3280
177	707	3269
178	710	3259
