홍수사상번호,연,월,일,시간,유입량,유역평균강수,강우(A지역),강우(B지역),강우(C지역),강우(D지역),수위(E지역),수위(D지역)
1,2006,7,10,8,189.1,6.4,7.0,7.0,7.0,8.0,2.5,122.6
1,2006,7,10,9,217.0,6.3,7.0,8.0,7.0,8.0,2.5,122.6
1,2006,7,10,10,251.4,6.4,7.0,9.0,7.0,8.0,2.5,122.6
1,2006,7,10,11,302.8,7.3,7.0,10.0,7.0,8.0,2.5,122.6
1,2006,7,10,12,384.8,8.2,7.0,12.0,8.0,10.0,2.5,122.6
1,2006,7,10,13,512.5,11.3,7.0,14.0,10.0,11.0,2.5,122.6
1,2006,7,10,14,701.5,14.4,9.0,17.0,10.0,14.0,2.5,122.6
1,2006,7,10,15,952.5,16.9,12.0,24.0,15.0,16.0,2.5,122.6
1,2006,7,10,16,1207.1,20.5,14.0,33.0,18.0,17.0,2.6,122.6
1,2006,7,10,17,1392.0,25.8,15.0,40.0,20.0,21.0,2.6,122.5
1,2006,7,10,18,1454.8,31.7,17.0,46.0,27.0,27.0,2.6,122.5
1,2006,7,10,19,1426.1,37.9,20.0,51.0,30.0,31.0,2.7,122.5
1,2006,7,10,20,1357.4,44.1,21.0,56.0,33.0,35.0,2.7,122.5
1,2006,7,10,21,1293.9,50.0,24.0,57.0,40.0,44.0,2.8,122.5
1,2006,7,10,22,1255.5,52.9,34.0,58.0,42.0,56.0,3.1,122.5
1,2006,7,10,23,1256.0,54.6,37.0,59.0,44.0,56.0,3.5,122.5
1,2006,7,10,24,1299.8,55.9,39.0,60.0,45.0,56.0,3.8,122.5
1,2006,7,11,1,1355.3,57.0,41.0,61.0,46.0,58.0,4.0,122.5
1,2006,7,11,2,1381.7,58.2,41.0,62.0,48.0,59.0,4.2,122.6
1,2006,7,11,3,1352.1,59.4,43.0,63.0,49.0,60.0,4.2,122.6
1,2006,7,11,4,1295.9,60.4,44.0,64.0,50.0,62.0,4.2,122.6
1,2006,7,11,5,1256.3,61.0,45.0,65.0,50.0,62.0,4.2,122.7
1,2006,7,11,6,1265.6,61.8,46.0,66.0,51.0,63.0,4.3,122.7
1,2006,7,11,7,1312.8,62.4,46.0,65.0,52.0,63.0,4.4,122.7
1,2006,7,11,8,1375.5,62.8,46.0,64.0,52.0,63.0,4.5,122.8
1,2006,7,11,9,1437.2,63.1,48.0,63.0,51.0,63.0,4.7,122.9
1,2006,7,11,10,1502.8,62.9,48.0,62.0,50.0,63.0,5.1,123.0
1,2006,7,11,11,1582.9,62.7,48.0,61.0,51.0,62.0,5.3,123.0
1,2006,7,11,12,1676.2,62.0,47.0,60.0,51.0,61.0,5.3,123.1
1,2006,7,11,13,1734.2,61.3,46.0,60.0,51.0,60.0,5.3,123.2
1,2006,7,11,14,1714.1,60.6,46.0,59.0,51.0,61.0,5.3,123.3
1,2006,7,11,15,1641.7,60.0,46.0,59.0,51.0,61.0,5.3,123.3
1,2006,7,11,16,1560.4,59.4,43.0,59.0,51.0,61.0,5.3,123.4
1,2006,7,11,17,1503.8,59.2,42.0,59.0,51.0,61.0,5.2,123.5
1,2006,7,11,18,1467.0,59.1,42.0,59.0,51.0,61.0,5.2,123.6
1,2006,7,11,19,1435.6,59.1,42.0,59.0,51.0,61.0,5.1,123.7
1,2006,7,11,20,1398.3,59.1,42.0,59.0,51.0,61.0,5.1,123.7
1,2006,7,11,21,1356.3,59.1,42.0,59.0,51.0,61.0,5.1,123.8
1,2006,7,11,22,1314.0,59.1,42.0,59.0,51.0,61.0,5.0,123.9
1,2006,7,11,23,1275.6,59.2,42.0,59.0,51.0,61.0,5.0,124.0
1,2006,7,11,24,1244.9,59.4,42.0,60.0,51.0,61.0,4.9,124.1
1,2006,7,12,1,1225.2,59.7,42.0,60.0,51.0,61.0,4.9,124.1
1,2006,7,12,2,1218.2,59.2,42.0,60.0,51.0,61.0,4.8,124.2
1,2006,7,12,3,1217.3,58.9,42.0,60.0,50.0,61.0,4.8,124.3
1,2006,7,12,4,1214.0,58.9,43.0,61.0,48.0,61.0,4.7,124.4
1,2006,7,12,5,1201.4,59.2,42.0,61.0,48.0,62.0,4.7,124.5
1,2006,7,12,6,1178.7,59.5,42.0,62.0,44.0,60.0,4.6,124.6
1,2006,7,12,7,1146.8,60.0,42.0,62.0,41.0,59.0,4.6,124.7
1,2006,7,12,8,1107.4,60.6,42.0,62.0,39.0,57.0,4.5,124.7
1,2006,7,12,9,1066.2,61.3,42.0,63.0,33.0,55.0,4.5,124.8
1,2006,7,12,10,1029.6,62.8,44.0,66.0,31.0,54.0,4.4,124.9
1,2006,7,12,11,1003.6,67.4,47.0,72.0,29.0,51.0,4.4,125.0
1,2006,7,12,12,992.2,73.5,50.0,86.0,24.0,49.0,4.3,125.1
1,2006,7,12,13,995.6,79.8,62.0,92.0,30.0,50.0,4.3,125.2
1,2006,7,12,14,1000.6,86.2,91.0,95.0,28.0,45.0,4.3,125.2
1,2006,7,12,15,991.0,89.5,107.0,95.0,27.0,39.0,4.2,125.3
1,2006,7,12,16,957.4,91.7,112.0,96.0,26.0,26.0,4.2,125.4
1,2006,7,12,17,920.1,93.5,115.0,98.0,24.0,24.0,4.2,125.4
1,2006,7,12,18,906.3,95.5,118.0,97.0,23.0,23.0,4.2,125.5
1,2006,7,12,19,941.9,97.2,120.0,96.0,22.0,22.0,4.3,125.6
1,2006,7,12,20,1046.1,101.0,122.0,96.0,22.0,21.0,4.4,125.6
1,2006,7,12,21,1236.8,104.6,145.0,94.0,22.0,21.0,4.6,125.7
1,2006,7,12,22,1520.4,105.0,154.0,91.0,21.0,20.0,5.0,125.7
1,2006,7,12,23,1858.3,102.7,155.0,86.0,21.0,21.0,5.7,125.7
1,2006,7,12,24,2200.8,102.1,152.0,80.0,19.0,20.0,6.3,125.8
1,2006,7,13,1,2511.2,102.2,155.0,84.0,19.0,26.0,6.7,125.8
1,2006,7,13,2,2806.3,103.9,155.0,96.0,18.0,27.0,6.9,125.8
1,2006,7,13,3,3116.2,105.3,158.0,92.0,18.0,44.0,7.2,125.9
1,2006,7,13,4,3452.6,103.6,160.0,87.0,19.0,53.0,7.8,125.9
1,2006,7,13,5,3754.0,102.6,169.0,88.0,19.0,54.0,8.3,125.9
1,2006,7,13,6,3940.6,101.7,172.0,87.0,19.0,55.0,8.6,126.0
1,2006,7,13,7,3967.2,101.7,194.0,87.0,20.0,55.0,8.6,126.0
1,2006,7,13,8,3926.9,101.9,200.0,86.0,20.0,54.0,8.6,126.1
1,2006,7,13,9,3947.4,102.7,201.0,86.0,20.0,55.0,8.6,126.2
1,2006,7,13,10,4126.1,103.2,203.0,85.0,20.0,57.0,8.6,126.3
1,2006,7,13,11,4439.6,104.8,205.0,84.0,22.0,59.0,8.8,126.3
1,2006,7,13,12,4834.6,104.6,225.0,83.0,22.0,59.0,9.2,126.5
1,2006,7,13,13,5243.4,103.7,225.0,82.0,25.0,59.0,9.7,126.6
1,2006,7,13,14,5543.6,103.0,227.0,81.0,25.0,59.0,10.0,126.7
1,2006,7,13,15,5632.6,102.6,226.0,81.0,25.0,60.0,10.1,126.8
1,2006,7,13,16,5544.7,102.3,226.0,81.0,25.0,60.0,10.1,127.0
1,2006,7,13,17,5348.3,103.6,241.0,88.0,25.0,60.0,9.9,127.2
1,2006,7,13,18,5102.8,106.6,239.0,88.0,25.0,61.0,9.8,127.4
1,2006,7,13,19,4831.2,108.3,239.0,88.0,32.0,69.0,9.5,127.5
1,2006,7,13,20,4547.4,108.9,241.0,88.0,33.0,74.0,9.2,127.8
1,2006,7,13,21,4264.2,109.2,241.0,88.0,32.0,74.0,8.9,128.0
1,2006,7,13,22,3989.5,109.5,241.0,88.0,32.0,74.0,8.6,128.2
1,2006,7,13,23,3730.3,109.4,241.0,88.0,32.0,73.0,8.4,128.4
