iter	RMSE
0	2152.559126
1	2077.990804
2	2002.793056
3	1932.998382
4	1863.437872
5	1797.040241
6	1732.899777
7	1672.874273
8	1616.697317
9	1563.881906
10	1512.061068
11	1462.339072
12	1414.718213
13	1369.110536
14	1326.471119
15	1283.585028
16	1243.491539
17	1206.254225
18	1170.132069
19	1136.167386
20	1104.236613
21	1073.217237
22	1042.858159
23	1014.780373
24	986.2923562
25	961.1886542
26	937.5759474
27	914.0180604
28	892.6887455
29	871.4863574
30	851.1711139
31	831.0825296
32	811.5555878
33	793.0272782
34	776.0235001
35	760.3015944
36	744.2035986
37	729.2203401
38	716.1745994
39	703.1088314
40	690.1983831
41	679.0305958
42	667.8239073
43	656.5811431
44	647.4403631
45	636.4079251
46	626.4491079
47	617.0211786
48	607.0243639
49	598.2140097
50	590.9776034
51	583.7723729
52	577.2954432
53	569.3476563
54	562.9750235
55	557.0296106
56	551.6530801
57	545.2585105
58	540.1671848
59	535.3536497
60	530.8391712
61	526.9328512
62	522.4395541
63	518.2435965
64	512.5182638
65	506.9089216
66	501.750839
67	498.0590263
68	493.9956646
69	490.7336443
70	487.857064
71	483.4351711
72	480.9836191
73	476.5735215
74	471.3094754
75	466.5967849
76	463.362198
77	458.8811358
78	454.953375
79	452.4418252
80	448.6242409
81	446.5086364
82	444.0768741
83	439.8353262
84	435.9911104
85	433.7848039
86	429.6856226
87	428.1176638
88	424.3052802
89	421.6758967
90	419.5805572
91	418.0317462
92	416.5779339
93	414.8624855
94	413.3332819
95	410.737577
96	409.0358001
97	406.0258138
98	403.7015814
99	400.622834
100	398.3931707
101	396.4475113
102	395.2381583
103	393.5762182
104	391.712873
105	388.445677
106	387.0381027
107	385.8588984
108	383.1316008
109	381.0728663
110	378.8978475
111	377.6612369
112	375.0754706
113	372.3711456
114	370.3745789
115	368.7440645
116	367.7471799
117	365.7323284
118	363.6210527
119	361.6799025
120	360.1472834
121	358.535218
122	356.4627904
123	355.7546344
124	353.4470326
125	351.7954425
126	349.8053812
127	348.2088621
128	346.4663001
129	345.5482743
130	344.015755
131	342.7417465
132	341.3666817
133	339.7868524
134	337.7989169
135	336.5385203
136	335.4884834
137	333.765753
138	332.2861496
139	331.0422887
140	329.9743528
141	329.5812066
142	328.145012
143	327.5048063
144	326.0965764
145	324.4371279
146	323.3233588
147	321.9885728
148	321.177596
149	320.2089284
150	318.780519
151	317.3937345
152	315.9524637
153	315.003765
154	313.3509326
155	312.6244689
156	311.9823724
157	310.9414745
158	310.1679857
159	309.1302619
160	307.4269953
161	306.6495799
162	305.1838139
163	304.5264027
164	303.3782127
165	302.603065
166	301.824545
167	300.8184448
168	299.7151761
169	298.9001231
170	297.6731388
171	296.7070603
172	295.1705889
173	294.1087936
174	293.1122192
175	292.0699822
176	291.0999764
177	290.016802
178	289.2722101
179	288.2298967
180	286.8949255
181	286.0591448
182	285.1028319
183	284.3047321
184	283.420677
185	282.2906604
186	281.612499
187	280.3068548
188	279.91986
189	278.5950792
190	278.2849559
191	276.6227779
192	275.8951416
193	274.9446876
194	274.5679054
195	274.234396
196	273.5417409
197	272.6940504
198	271.6809501
199	270.6245803
200	270.0487976
201	268.7193618
202	267.9471381
203	267.5075708
204	266.7836997
205	266.4630926
206	265.7276302
207	265.3318524
208	264.0313241
209	262.8907091
210	261.6092271
211	260.6886721
212	259.2826778
213	258.4727089
214	258.121447
215	257.2870632
216	256.4223851
217	256.0371851
218	255.4858409
219	254.8256035
220	253.9706849
221	253.0290489
222	251.8558874
223	251.1914019
224	250.2601041
225	249.2741912
226	248.9325918
227	248.6533577
228	247.6963126
229	246.5869744
230	246.3297225
231	245.2617901
232	244.5742656
233	244.4607789
234	244.142443
235	243.5054761
236	243.3197012
237	242.8513086
238	242.683575
239	241.1856315
240	240.4679581
241	239.6508938
242	239.5836723
243	238.9351649
244	238.8393827
245	238.0034018
246	236.8571737
247	236.2676975
248	236.2192787
249	236.0540153
250	235.8836347
251	235.1916249
252	234.546694
253	233.6444714
254	232.8318696
255	232.2693854
256	231.1668183
257	230.340894
258	230.1552678
259	229.8386722
260	229.3318509
261	229.0457862
262	228.7184578
263	227.9475424
264	227.2101402
265	226.6527554
266	225.5768777
267	225.4107936
268	224.7937477
269	224.1586367
270	223.6865146
271	223.3783394
272	222.4404125
273	221.5464777
274	221.0880934
275	220.818621
276	220.6954285
277	220.2539825
278	219.2481049
279	218.7519488
280	218.3045311
281	217.9174673
282	217.5249844
283	217.3538317
284	217.24734
285	217.1032458
286	217.0487905
287	216.2418282
288	216.1438788
289	215.9407724
290	215.4203684
291	214.8442473
292	214.3937206
293	214.341812
294	213.5620723
295	213.1476614
296	213.030875
297	212.9828826
298	212.5708238
299	211.9584481
300	211.5625658
301	211.279262
302	211.2232827
303	210.4278232
304	209.8861332
305	209.7999286
306	208.8765418
307	208.8245325
308	208.5928417
309	207.8983847
310	207.6024798
311	206.5772684
312	206.0968973
313	205.4490816
314	205.3339957
315	204.8906728
316	204.3847102
317	204.213615
318	204.1077863
319	203.68287
320	203.2393417
321	202.8463995
322	202.0473415
323	201.3089895
324	201.2552864
325	200.9295116
326	200.851848
327	200.4517016
328	199.9175292
329	199.8412388
330	199.4780069
331	198.885921
332	198.4739934
333	198.4317438
334	197.9849299
335	197.9137297
336	197.2955791
337	197.0949964
338	196.6740031
339	196.4513022
340	195.8011536
341	195.6257649
342	195.5199209
343	195.0470268
344	194.2856595
345	194.0614243
346	193.8497271
347	193.4418043
348	193.2828397
349	193.0905559
350	192.5215802
351	192.4803631
352	192.293376
353	192.209285
354	191.9127541
355	191.7702356
356	191.4362758
357	190.8645522
358	190.5262388
359	189.9175782
360	189.621626
361	189.4567927
362	189.1855582
363	188.6566768
364	188.6120781
365	188.5709392
366	188.5288138
367	188.0576585
368	187.9225727
369	187.7682213
370	187.7289146
371	187.6922205
372	187.1483712
373	186.8952941
374	186.8591479
375	186.6354906
376	186.4658
377	186.3523016
378	185.742179
379	185.301823
380	185.1934786
381	184.9007048
382	184.3355913
383	183.7890758
384	183.6409606
385	183.4421144
386	183.1378399
387	182.6207918
388	182.5866593
389	182.0740308
390	182.0253035
391	181.6567765
392	181.1712588
393	180.9309509
394	180.5103682
395	180.3217292
396	179.906891
397	179.8743144
398	179.7536664
399	179.7032415
400	179.4343613
401	178.7813294
402	178.4918566
403	177.8895881
404	177.3981553
405	177.2793006
406	176.7439561
407	176.7127212
408	176.483327
409	176.3556865
410	175.826308
411	175.5632473
412	175.4752865
413	175.4446331
414	175.4015252
415	175.1957755
416	174.966009
417	174.6287739
418	174.3741795
419	174.0600359
420	173.9294058
421	173.5361281
422	173.5051969
423	173.4764185
424	173.0692205
425	173.0458696
426	172.8897381
427	172.8508862
428	172.6010168
429	172.2913829
430	172.201738
431	171.873565
432	171.4551209
433	171.2459234
434	171.2196105
435	170.9505311
436	170.8772861
437	170.4490762
438	170.326915
439	170.0239394
440	169.479832
441	169.3411931
442	169.1155839
443	169.1021426
444	168.6997781
445	168.115113
446	167.5795742
447	167.5662644
448	167.0658339
449	166.8050025
450	166.2930771
451	166.0968668
452	165.6189127
453	165.2849267
454	165.0202249
455	164.5985016
456	164.4165348
457	164.0265892
458	163.6417895
459	163.6274344
460	163.6134526
461	163.2990247
462	163.0513472
463	162.6160334
464	162.3484758
465	162.1352431
466	161.9341634
467	161.9213037
468	161.6346112
469	161.3260313
470	161.3011045
471	160.9410841
472	160.6614673
473	160.2582481
474	160.1315902
475	159.8231477
476	159.8087019
477	159.4863153
478	159.2614261
479	158.997466
480	158.9818753
481	158.8594773
482	158.6222095
483	158.2952226
484	158.0878226
485	157.7533468
486	157.5195146
487	157.3550262
488	157.3405129
489	157.3268741
490	157.314369
491	156.7563286
492	156.5877682
493	156.572212
494	156.4473242
495	156.3054438
496	155.9935808
497	155.8395325
498	155.5608641
499	155.4503829
500	155.2376796
501	155.2246447
502	154.9716878
503	154.7489247
504	154.7363788
505	154.2380675
506	154.0151823
507	153.8634088
508	153.773395
509	153.4708106
510	153.2238356
511	153.2109911
512	153.02482
513	152.7562863
514	152.5278612
515	152.2642356
516	152.1415846
517	152.1291973
518	152.1110833
519	151.9147989
520	151.7797415
521	151.7678159
522	151.4715529
523	151.4304332
524	151.2048477
525	150.8947996
526	150.5679991
527	150.4491625
528	150.2932505
529	150.1682559
530	150.0861512
531	149.8935648
532	149.6256353
533	149.6150335
534	149.5032672
535	149.3786323
536	149.2050328
537	148.9297176
538	148.7277635
539	148.4420257
540	148.3668785
541	148.1086926
542	147.6457546
543	147.5848272
544	147.3493382
545	147.1695673
546	146.8630268
547	146.6117029
548	146.3621179
549	146.2454924
550	145.9962748
551	145.9688823
552	145.8904714
553	145.4376043
554	145.1641892
555	144.9980183
556	144.6002688
557	144.1020011
558	143.6982508
559	143.597119
560	143.5821864
561	143.2661288
562	143.0244759
563	142.8914232
564	142.8028723
565	142.5819472
566	142.3654124
567	142.2284629
568	142.1272906
569	141.928195
570	141.8418237
571	141.7518093
572	141.6146967
573	141.5452139
574	141.2735196
575	141.1391665
576	141.1283237
577	140.9225548
578	140.6419004
579	140.5627456
580	140.5068555
581	140.2647134
582	140.0275229
583	139.7543666
584	139.5828732
585	139.5730408
586	139.3567566
587	139.0658005
588	138.9961178
589	138.923753
590	138.5135923
591	138.4751399
592	138.2252982
593	138.1690146
594	138.065729
595	137.8610077
596	137.6632186
597	137.2694794
598	137.131144
599	136.7499651
600	136.6603835
601	136.6519943
602	136.548332
603	136.140479
604	136.0876201
605	136.0007377
606	135.9186044
607	135.7916749
608	135.6783975
609	135.4177174
610	135.3515068
611	135.0666009
612	134.9210628
613	134.6704137
614	134.4236686
615	134.3316734
616	134.0241801
617	133.9249723
618	133.8505644
619	133.7229246
620	133.4382197
621	133.2789328
622	133.0570936
623	132.7729418
624	132.7341814
625	132.471163
626	132.2485932
627	132.2388208
628	132.0129782
629	131.8653621
630	131.759829
631	131.6440346
632	131.5549579
633	131.2878971
634	131.1816039
635	131.1390601
636	130.8913352
637	130.5457309
638	130.5204699
639	130.4260333
640	130.3118869
641	130.2547343
642	129.9369166
643	129.7607733
644	129.5596758
645	129.466122
646	129.4278467
647	129.1496476
648	128.8960832
649	128.6416336
650	128.2220102
651	128.1861519
652	128.1174948
653	128.0832977
654	127.9710435
655	127.8521679
656	127.6314049
657	127.2667623
658	127.1967674
659	127.0922075
660	126.8294346
661	126.4866658
662	126.3375187
663	126.3140338
664	126.1831285
665	126.1736906
666	125.9912752
667	125.982445
668	125.8576108
669	125.7743334
670	125.7657218
671	125.5250625
672	125.4511785
673	125.2420142
674	125.1275867
675	124.8449633
676	124.7491543
677	124.6247125
678	124.477963
679	124.3730651
680	124.3640739
681	124.102085
682	123.952537
683	123.8511886
684	123.6909611
685	123.4854027
686	123.3942462
687	123.3225381
688	122.9070401
689	122.7869734
690	122.7785264
691	122.7698123
692	122.7617436
693	122.7538849
694	122.6224304
695	122.6147652
696	122.310869
697	122.3033634
698	122.2092284
699	122.2018423
700	122.192834
701	122.0761016
702	121.8123618
703	121.7694377
704	121.6916261
705	121.6257962
706	121.5271837
707	121.4071509
708	121.164833
709	120.829485
710	120.6561339
711	120.3891637
712	120.3685849
713	120.2400697
714	120.1606508
715	120.0079715
716	119.9770959
717	119.8024145
718	119.7744357
719	119.5923508
720	119.5704259
721	119.3498901
722	119.1047546
723	118.9367376
724	118.5741914
725	118.4724801
726	118.311024
727	118.161333
728	118.054088
729	117.7913912
730	117.524014
731	117.4673924
732	117.2473552
733	117.2401192
734	117.174378
735	116.912055
736	116.9050731
737	116.8981235
738	116.8708191
739	116.8187366
740	116.7988109
741	116.6410338
742	116.5331333
743	116.4374184
744	116.4110271
745	116.3395597
746	116.2901866
747	116.1390469
748	116.0443346
749	115.7973499
750	115.6891597
751	115.6493727
752	115.6210695
753	115.539774
754	115.4400042
755	115.2393745
756	114.9779189
757	114.9298663
758	114.9106169
759	114.8839033
760	114.7615664
761	114.5178025
762	114.5110779
763	114.2990199
764	114.2160004
765	113.9369904
766	113.9159181
767	113.656325
768	113.5496954
769	113.4383162
770	113.3546888
771	113.246129
772	113.0702948
773	113.0637654
774	112.9206743
775	112.8005288
776	112.7464401
777	112.5166097
778	112.4681093
779	112.3256797
780	112.3161226
781	112.1646994
782	112.0535486
783	111.9504917
784	111.9201283
785	111.7719748
786	111.6456214
787	111.3635779
788	111.3434089
789	111.1593225
790	110.9726554
791	110.8781542
792	110.7319155
793	110.5169549
794	110.3369482
795	110.3188679
796	110.1776891
797	110.0936022
798	110.0656986
799	110.0035247
800	109.9858422
801	109.7433761
802	109.4495969
