iter	Passed	Remaining
0	3	3068
1	5	2839
2	8	2738
3	11	2835
4	13	2762
5	17	2865
6	19	2805
7	22	2811
8	25	2802
9	28	2808
10	31	2815
11	34	2801
12	37	2830
13	40	2825
14	43	2867
15	46	2845
16	50	2927
17	53	2899
18	55	2874
19	58	2856
20	61	2870
21	64	2850
22	67	2861
23	69	2845
24	75	2950
25	79	2967
26	81	2948
27	84	2928
28	88	2947
29	92	2981
30	95	2987
31	105	3183
32	107	3161
33	110	3137
34	114	3157
35	117	3133
36	119	3113
37	122	3092
38	124	3073
39	127	3057
40	129	3037
41	132	3017
42	134	2999
43	137	2994
44	140	2979
45	143	2966
46	145	2950
47	147	2935
48	151	2933
49	153	2920
50	156	2906
51	158	2892
52	161	2891
53	164	2881
54	167	2869
55	170	2865
56	172	2855
57	175	2857
58	178	2848
59	182	2851
60	184	2841
61	187	2839
62	190	2828
63	193	2825
64	195	2816
65	198	2806
66	201	2803
67	204	2799
68	206	2790
69	209	2782
70	214	2812
71	218	2813
72	221	2811
73	225	2824
74	233	2883
75	236	2874
76	240	2879
77	242	2869
78	245	2860
79	247	2851
80	250	2841
81	252	2832
82	255	2823
83	258	2814
84	260	2805
85	264	2812
86	267	2803
87	269	2795
88	272	2786
89	276	2799
90	280	2801
91	283	2800
92	288	2810
93	291	2812
94	296	2826
95	299	2824
96	303	2826
97	306	2825
98	310	2826
99	314	2830
100	317	2829
101	321	2829
102	324	2827
103	328	2833
104	332	2830
105	335	2829
106	338	2823
107	340	2815
108	343	2807
109	346	2801
110	348	2794
111	352	2791
112	357	2802
113	360	2801
114	364	2803
115	367	2801
116	370	2798
117	378	2832
118	382	2828
119	384	2820
120	387	2812
121	391	2815
122	393	2808
123	396	2800
124	399	2793
125	401	2786
126	404	2779
127	406	2771
128	409	2764
129	411	2756
130	414	2752
131	418	2751
132	422	2755
133	429	2776
134	433	2779
135	437	2776
136	442	2788
137	448	2804
138	452	2800
139	454	2793
140	457	2785
141	459	2778
142	462	2771
143	464	2763
144	467	2756
145	470	2749
146	474	2751
147	476	2744
148	479	2738
149	481	2731
150	486	2734
151	488	2727
152	491	2721
153	496	2726
154	500	2729
155	504	2727
156	508	2727
157	511	2726
158	514	2723
159	521	2739
160	525	2736
161	527	2730
162	530	2725
163	534	2722
164	538	2723
165	541	2720
166	545	2719
167	548	2717
168	552	2716
169	556	2715
170	559	2710
171	561	2704
172	565	2701
173	567	2695
174	570	2688
175	572	2681
176	575	2677
177	578	2671
178	581	2664
179	583	2658
180	586	2654
181	589	2649
182	592	2643
183	594	2637
184	597	2631
185	600	2629
186	603	2623
187	606	2618
188	608	2612
189	611	2606
190	613	2600
191	616	2595
192	619	2589
193	623	2589
194	625	2583
195	628	2577
196	631	2572
197	636	2579
198	639	2575
199	643	2572
200	647	2572
201	651	2574
202	655	2572
203	658	2570
204	665	2581
205	668	2576
206	671	2572
207	674	2569
208	677	2563
209	679	2557
210	682	2552
211	685	2546
212	687	2539
213	692	2544
214	697	2544
215	700	2542
216	703	2540
217	706	2534
218	709	2531
219	712	2525
220	715	2522
221	718	2517
222	722	2517
223	725	2511
224	727	2507
225	730	2501
226	733	2496
227	735	2491
228	738	2487
229	741	2482
230	744	2477
231	747	2475
232	751	2472
