iter	RMSE
0	2202.319867
1	2124.811075
2	2053.950439
3	1986.401783
4	1920.265821
5	1855.892172
6	1797.051976
7	1738.195129
8	1680.569779
9	1625.782668
10	1573.307797
11	1523.103535
12	1476.289253
13	1430.598639
14	1383.991326
15	1340.318823
16	1301.115872
17	1259.301613
18	1222.056265
19	1187.526466
20	1152.762336
21	1119.38446
22	1087.05922
23	1055.303827
24	1025.183348
25	995.1200849
26	966.6859412
27	939.6855187
28	914.9615867
29	890.9183205
30	868.0729168
31	846.2381535
32	824.893507
33	803.9547854
34	785.0955068
35	766.6760664
36	748.3326911
37	730.9811563
38	714.2951519
39	698.4415789
40	683.5377479
41	669.5874337
42	656.1085204
43	643.4513163
44	629.9079779
45	618.3595866
46	607.3373411
47	595.9524128
48	584.7499538
49	574.8042749
50	565.2518266
51	556.3372505
52	548.0062653
53	539.9065998
54	532.0557391
55	524.9576351
56	516.5516747
57	507.9293733
58	500.4654418
59	493.2160833
60	487.4732869
61	481.2960353
62	475.5098611
63	469.4384027
64	464.1064211
65	459.5131706
66	454.4540365
67	449.6798345
68	443.644219
69	439.4707247
70	435.3132957
71	431.6074192
72	427.8475707
73	423.0070505
74	419.8920712
75	415.5442751
76	412.4176265
77	409.5311004
78	406.4955927
79	404.0706852
80	401.201362
81	397.8458575
82	394.8287717
83	391.5919945
84	388.6678576
85	385.2230743
86	381.9112043
87	378.3279367
88	376.4216538
89	374.2033347
90	372.4311131
91	369.9042022
92	367.7825359
93	365.6626263
94	363.4147751
95	360.6688253
96	358.4443843
97	356.144471
98	352.7243363
99	351.7429774
100	349.2066425
101	346.2752246
102	344.8004067
103	343.6579737
104	340.7015104
105	337.8718123
106	336.6652681
107	334.3336684
108	331.5977658
109	330.2908755
110	328.1857231
111	326.6935813
112	325.7298682
113	324.7398386
114	323.8679336
115	321.9874256
116	320.0562221
117	318.2919616
118	316.4900725
119	315.0729744
120	313.4701222
121	311.1621102
122	309.0946535
123	307.0964523
124	306.0115359
125	305.3044463
126	304.757585
127	302.7070217
128	301.210801
129	300.2596905
130	298.88102
131	297.5869437
132	296.1352929
133	295.2365133
134	294.2448451
135	293.3842797
136	291.8431995
137	290.0381955
138	289.0441209
139	287.3918087
140	285.8067857
141	284.9366395
142	284.1192762
143	282.7731448
144	281.8634815
145	279.7785228
146	277.7969228
147	276.8796433
148	275.7111158
149	274.5606827
150	273.1986759
151	271.7248062
152	270.6524154
153	269.9184308
154	269.0690853
155	268.1491503
156	267.5925585
157	266.0469959
158	265.6112189
159	264.6077401
160	263.9843724
