iter	Passed	Remaining
0	3	3729
1	4	2347
2	5	1769
3	5	1459
4	6	1295
5	7	1187
6	7	1119
7	8	1069
8	9	1026
9	9	981
10	10	956
11	11	928
12	11	901
13	12	877
14	12	852
15	13	842
16	14	825
17	14	813
18	15	798
19	16	795
20	16	781
21	17	770
22	17	762
23	18	752
24	19	747
25	19	744
26	20	739
27	21	736
28	21	729
29	22	725
30	23	720
31	23	717
32	24	714
33	24	708
34	25	702
35	26	697
36	26	692
37	27	688
38	27	684
39	28	682
40	29	678
41	29	673
42	30	669
43	30	662
44	31	658
45	31	653
46	32	650
47	32	647
48	33	643
49	33	640
50	34	637
51	34	633
52	35	630
53	35	627
54	36	625
55	36	622
56	37	620
57	38	617
58	38	617
59	39	614
60	39	613
61	40	610
62	40	608
63	41	606
64	42	604
65	42	602
66	43	600
67	43	598
68	44	596
69	44	595
70	45	593
71	45	590
72	46	588
73	46	587
74	47	586
75	48	584
76	48	582
77	49	580
78	49	579
79	50	577
80	50	576
81	51	574
82	51	572
83	52	571
84	52	570
85	53	568
86	54	567
87	54	565
88	55	563
89	55	562
90	56	560
91	56	559
92	57	557
93	57	556
94	58	555
95	58	553
96	59	551
97	59	550
98	60	549
99	61	550
100	61	548
101	62	547
102	62	546
103	63	544
104	63	543
105	64	542
106	64	540
107	65	539
108	65	538
109	66	537
110	67	537
111	67	535
112	68	534
113	68	532
114	69	531
115	69	529
116	70	528
117	71	531
118	72	533
119	72	533
120	73	533
121	74	532
122	74	532
123	75	531
124	75	530
125	76	529
126	77	529
127	77	528
128	78	528
129	78	526
130	79	526
131	79	524
132	80	523
133	80	522
134	81	521
135	81	520
136	82	520
137	83	519
138	83	518
139	84	517
140	84	517
141	85	516
142	85	515
143	86	514
144	87	513
145	87	512
146	88	512
147	88	511
148	89	510
149	98	558
150	100	562
151	100	562
152	101	563
153	102	563
154	103	561
155	103	560
156	104	559
157	104	558
158	105	556
159	105	555
160	106	554
161	107	553
162	107	552
163	108	551
164	108	550
165	109	548
166	109	547
167	110	546
168	111	545
169	111	544
170	112	543
171	112	542
172	113	541
173	113	540
174	114	539
175	115	538
176	115	537
177	116	536
178	116	535
179	117	534
180	117	533
181	118	532
182	118	531
183	119	530
184	120	529
185	120	528
186	121	527
187	121	526
188	122	525
189	123	524
190	123	523
191	124	522
192	124	521
193	125	520
194	125	519
195	126	518
196	126	517
197	127	516
198	127	515
199	128	514
200	129	513
201	129	512
202	130	511
203	130	510
204	131	509
205	131	508
206	132	507
207	133	506
208	133	506
209	134	505
210	135	507
211	136	506
212	136	505
213	137	504
214	137	503
215	138	502
216	138	501
217	139	500
218	140	499
219	140	498
220	141	498
221	141	497
222	142	497
223	143	496
224	144	496
225	144	495
226	145	494
227	145	493
228	146	493
229	147	492
230	147	491
231	148	490
232	148	489
233	149	488
234	149	487
235	150	486
236	150	485
237	151	484
238	151	483
239	152	482
240	153	482
241	153	481
242	154	480
243	154	479
244	155	478
245	155	477
