,홍수사상번호,연,월,일,시간,유입량,유역평균강수,강우(A지역),강우(B지역),강우(C지역),강우(D지역),수위(E지역),수위(D지역)
0,1.0,2006.0,7.0,10.0,8.0,189.1,6.4,7,7,7,8,2.54,122.56875
1,1.0,2006.0,7.0,10.0,9.0,216.9519618,6.3,7,8,7,8,2.53,122.5625
2,1.0,2006.0,7.0,10.0,10.0,251.4244187,6.4,7,9,7,8,2.53,122.55625
3,1.0,2006.0,7.0,10.0,11.0,302.812199,7.3,7,10,7,8,2.53,122.55625
4,1.0,2006.0,7.0,10.0,12.0,384.7834064,8.2,7,12,8,10,2.53,122.55625
5,1.0,2006.0,7.0,10.0,13.0,512.5012279,11.3,7,14,10,11,2.53,122.55625
6,1.0,2006.0,7.0,10.0,14.0,701.5026217,14.4,9,17,10,14,2.53,122.55625
7,1.0,2006.0,7.0,10.0,15.0,952.5260535,16.9,12,24,15,16,2.54,122.55625
8,1.0,2006.0,7.0,10.0,16.0,1207.11602,20.5,14,33,18,17,2.56,122.55
9,1.0,2006.0,7.0,10.0,17.0,1392.018525,25.8,15,40,20,21,2.58,122.54375
10,1.0,2006.0,7.0,10.0,18.0,1454.768513,31.7,17,46,27,27,2.61,122.5375
11,1.0,2006.0,7.0,10.0,19.0,1426.056687,37.9,20,51,30,31,2.65,122.53125
12,1.0,2006.0,7.0,10.0,20.0,1357.36269,44.1,21,56,33,35,2.7,122.525
13,1.0,2006.0,7.0,10.0,21.0,1293.862205,50,24,57,40,44,2.79,122.51875
14,1.0,2006.0,7.0,10.0,22.0,1255.51507,52.9,34,58,42,56,3.05,122.51875
15,1.0,2006.0,7.0,10.0,23.0,1255.977162,54.6,37,59,44,56,3.46,122.51875
16,1.0,2006.0,7.0,10.0,24.0,1299.827525,55.9,39,60,45,56,3.8,122.525
17,1.0,2006.0,7.0,11.0,1.0,1355.337857,57,41,61,46,58,4.03,122.5375
18,1.0,2006.0,7.0,11.0,2.0,1381.703021,58.2,41,62,48,59,4.16,122.55625
19,1.0,2006.0,7.0,11.0,3.0,1352.132424,59.4,43,63,49,60,4.22,122.58125
20,1.0,2006.0,7.0,11.0,4.0,1295.893649,60.4,44,64,50,62,4.23,122.6125
21,1.0,2006.0,7.0,11.0,5.0,1256.268823,61,45,65,50,62,4.24,122.65
22,1.0,2006.0,7.0,11.0,6.0,1265.636588,61.8,46,66,51,63,4.26,122.69375
23,1.0,2006.0,7.0,11.0,7.0,1312.761633,62.4,46,65,52,63,4.35,122.74375
24,1.0,2006.0,7.0,11.0,8.0,1375.505161,62.8,46,64,52,63,4.46,122.80625
25,1.0,2006.0,7.0,11.0,9.0,1437.167338,63.1,48,63,51,63,4.71,122.875
26,1.0,2006.0,7.0,11.0,10.0,1502.804186,62.9,48,62,50,63,5.06,122.95
27,1.0,2006.0,7.0,11.0,11.0,1582.91069,62.7,48,61,51,62,5.27,123.025
28,1.0,2006.0,7.0,11.0,12.0,1676.198585,62,47,60,51,61,5.33,123.1
29,1.0,2006.0,7.0,11.0,13.0,1734.246617,61.3,46,60,51,60,5.34,123.175
30,1.0,2006.0,7.0,11.0,14.0,1714.092218,60.6,46,59,51,61,5.34,123.25625
31,1.0,2006.0,7.0,11.0,15.0,1641.740554,60,46,59,51,61,5.32,123.34375
32,1.0,2006.0,7.0,11.0,16.0,1560.438727,59.4,43,59,51,61,5.28,123.425
33,1.0,2006.0,7.0,11.0,17.0,1503.816413,59.2,42,59,51,61,5.23,123.50625
34,1.0,2006.0,7.0,11.0,18.0,1467.033586,59.1,42,59,51,61,5.18,123.58125
35,1.0,2006.0,7.0,11.0,19.0,1435.632793,59.1,42,59,51,61,5.14,123.6625
36,1.0,2006.0,7.0,11.0,20.0,1398.298088,59.1,42,59,51,61,5.1,123.7375
37,1.0,2006.0,7.0,11.0,21.0,1356.279548,59.1,42,59,51,61,5.06,123.81875
38,1.0,2006.0,7.0,11.0,22.0,1313.968753,59.1,42,59,51,61,5.02,123.9
39,1.0,2006.0,7.0,11.0,23.0,1275.609823,59.2,42,59,51,61,4.98,123.98125
40,1.0,2006.0,7.0,11.0,24.0,1244.857022,59.4,42,60,51,61,4.94,124.0625
41,1.0,2006.0,7.0,12.0,1.0,1225.217152,59.7,42,60,51,61,4.89,124.14375
42,1.0,2006.0,7.0,12.0,2.0,1218.195158,59.2,42,60,51,61,4.84,124.225
43,1.0,2006.0,7.0,12.0,3.0,1217.288567,58.9,42,60,50,61,4.79,124.3125
44,1.0,2006.0,7.0,12.0,4.0,1213.993045,58.9,43,61,48,61,4.73,124.4
45,1.0,2006.0,7.0,12.0,5.0,1201.361104,59.2,42,61,48,62,4.67,124.4875
46,1.0,2006.0,7.0,12.0,6.0,1178.672607,59.5,42,62,44,60,4.62,124.56875
47,1.0,2006.0,7.0,12.0,7.0,1146.764262,60,42,62,41,59,4.56,124.65
48,1.0,2006.0,7.0,12.0,8.0,1107.417108,60.6,42,62,39,57,4.51,124.7375
49,1.0,2006.0,7.0,12.0,9.0,1066.189518,61.3,42,63,33,55,4.46,124.81875
50,1.0,2006.0,7.0,12.0,10.0,1029.584203,62.8,44,66,31,54,4.42,124.90625
51,1.0,2006.0,7.0,12.0,11.0,1003.59915,67.4,47,72,29,51,4.38,124.9875
52,1.0,2006.0,7.0,12.0,12.0,992.2134611,73.5,50,86,24,49,4.34,125.075
53,1.0,2006.0,7.0,12.0,13.0,995.5887004,79.8,62,92,30,50,4.3,125.15625
54,1.0,2006.0,7.0,12.0,14.0,1000.635155,86.2,91,95,28,45,4.27,125.2375
55,1.0,2006.0,7.0,12.0,15.0,990.9502939,89.5,107,95,27,39,4.24,125.3125
56,1.0,2006.0,7.0,12.0,16.0,957.4227731,91.7,112,96,26,26,4.22,125.38125
57,1.0,2006.0,7.0,12.0,17.0,920.1060007,93.5,115,98,24,24,4.21,125.44375
58,1.0,2006.0,7.0,12.0,18.0,906.3445727,95.5,118,97,23,23,4.21,125.5
59,1.0,2006.0,7.0,12.0,19.0,941.8874633,97.2,120,96,22,22,4.25,125.55625
