?�수?�상번호,???????�간,?�입???�역?�균강수,강우(A지??,강우(B지??,강우(C지??,강우(D지??,?�위(E지??,?�위(D지??,,,,
1,2006,7,10,8,189.1,6.4,7,7,7,8,2.54,122.56875
1,2006,7,10,9,216.9519618,6.3,7,8,7,8,2.53,122.5625
1,2006,7,10,10,251.4244187,6.4,7,9,7,8,2.53,122.55625
1,2006,7,10,11,302.812199,7.3,7,10,7,8,2.53,122.55625
1,2006,7,10,12,384.7834064,8.2,7,12,8,10,2.53,122.55625
1,2006,7,10,13,512.5012279,11.3,7,14,10,11,2.53,122.55625
1,2006,7,10,14,701.5026217,14.4,9,17,10,14,2.53,122.55625
1,2006,7,10,15,952.5260535,16.9,12,24,15,16,2.54,122.55625
1,2006,7,10,16,1207.11602,20.5,14,33,18,17,2.56,122.55
1,2006,7,10,17,1392.018525,25.8,15,40,20,21,2.58,122.54375
1,2006,7,10,18,1454.768513,31.7,17,46,27,27,2.61,122.5375
1,2006,7,10,19,1426.056687,37.9,20,51,30,31,2.65,122.53125
1,2006,7,10,20,1357.36269,44.1,21,56,33,35,2.7,122.525
1,2006,7,10,21,1293.862205,50,24,57,40,44,2.79,122.51875
1,2006,7,10,22,1255.51507,52.9,34,58,42,56,3.05,122.51875
1,2006,7,10,23,1255.977162,54.6,37,59,44,56,3.46,122.51875
1,2006,7,10,24,1299.827525,55.9,39,60,45,56,3.8,122.525
1,2006,7,11,1,1355.337857,57,41,61,46,58,4.03,122.5375
1,2006,7,11,2,1381.703021,58.2,41,62,48,59,4.16,122.55625
1,2006,7,11,3,1352.132424,59.4,43,63,49,60,4.22,122.58125
1,2006,7,11,4,1295.893649,60.4,44,64,50,62,4.23,122.6125
1,2006,7,11,5,1256.268823,61,45,65,50,62,4.24,122.65
1,2006,7,11,6,1265.636588,61.8,46,66,51,63,4.26,122.69375
1,2006,7,11,7,1312.761633,62.4,46,65,52,63,4.35,122.74375
